,country,eruption_length,elevation,population_within_5_km,vei,num_volcanoes,num_eruptions
0,Algeria,150.0,1672.0,1196.0,2.0,1,0
1,Argentina,91.21428571428571,3608.1428571428573,98.5,1.7857142857142858,14,7
2,Armenia,515.0,3422.3333333333335,432210.0,2.3333333333333335,3,3
3,Australia,187.5,1878.0,305180.5,2.5,2,17
4,Bolivia,112.0,4877.0,222.66666666666666,2.0,3,0
5,Cameroon,245.33333333333334,2535.3333333333335,122298.33333333333,1.6666666666666667,3,21
6,Canada,372.2352941176471,1917.0,428.11764705882354,1.625,17,18
7,Chad,938.0,2945.0,0.0,2.0,4,0
8,Chile,248.85365853658536,3100.317073170732,469.6829268292683,1.5384615384615385,41,347
9,China,259.0,1143.5714285714287,291284.71428571426,1.6666666666666667,7,11
10,Colombia,125.14285714285714,4730.428571428572,2222.285714285714,1.2857142857142858,7,120
11,Costa Rica,730.7,2384.2,1087.1,2.1,10,185
12,DR Congo,13.0,3264.0,3083.5,0.5,2,69
13,Djibouti,0.0,298.0,2895.0,1.0,1,1
14,Ecuador,193.96,3364.4,42638.0,1.565217391304348,25,239
15,El Salvador,191.42857142857142,1421.857142857143,231178.7142857143,1.6153846153846154,14,30
16,Eritrea,475.3333333333333,1172.0,175.33333333333334,2.0,3,4
17,Ethiopia,88.8,1578.6,71014.24,1.6363636363636365,25,26
18,Fiji,98.0,1023.0,480.5,2.0,2,37
19,France,212.1,1170.7,39523.9,1.1111111111111112,10,285
20,Georgia,43.5,4170.0,6605.0,1.0,2,2
21,Germany,1.0,600.0,94991.0,3.0,1,2
22,Greece,35.75,644.0,3172.0,1.5,4,20
23,Guatemala,605.5,2382.9375,66804.5,1.7142857142857142,16,135
24,Honduras,59.0,646.75,34423.25,1.75,4,0
25,Iceland,300.037037037037,1125.0740740740741,2549.222222222222,1.8148148148148149,27,490
26,Indonesia,322.19101123595505,2007.6966292134832,37202.0,1.430232558139535,89,1173
27,Iran,524.0,5670.0,27.0,3.0,1,1
28,Italy,229.9090909090909,866.5454545454545,317407.54545454547,1.9090909090909092,11,377
29,Japan,376.625,1321.5454545454545,6577.863636363636,1.7179487179487178,88,1582
30,Kenya,160.4,1566.3333333333333,8272.733333333334,1.9230769230769231,15,31
31,Madagascar,34.0,1973.0,90903.0,1.0,3,2
32,Mexico,366.36,2777.04,300542.0,1.8,25,210
33,Mongolia,281.0,1996.6666666666667,9989.666666666666,1.3333333333333333,3,1
34,Netherlands,69.0,744.0,1956.5,2.0,2,4
35,New Zealand,293.875,743.8125,71198.5625,1.375,16,322
36,Nicaragua,298.0,927.5625,97063.5,1.4375,16,231
37,Niger,0.0,1780.0,362.0,1.0,1,0
38,Norway,34.0,1469.0,0.0,1.0,2,10
39,Panama,1022.0,1185.0,1544.0,3.0,1,0
40,Papua New Guinea,157.69230769230768,904.1153846153846,2998.576923076923,1.84,26,199
41,Peru,69.375,5139.875,1991.5,1.375,8,28
42,Philippines,222.07692307692307,1450.576923076923,106190.42307692308,1.6538461538461537,26,131
43,Portugal,202.72727272727272,1024.6363636363637,30874.363636363636,1.3,11,67
44,Russia,198.89473684210526,1776.7105263157894,24.94736842105263,1.6388888888888888,76,819
45,Saudi Arabia,223.75,1389.875,170775.5,2.0,8,7
46,South Africa,5.0,951.0,0.0,1.5,2,2
47,South Korea,13.0,1451.5,3766.5,1.0,2,7
48,Spain,223.14285714285714,1482.0,38923.28571428572,2.0,7,69
49,Sudan,89.75,1872.75,9367.75,1.25,4,8
50,Taiwan,0.0,1120.0,5084149.0,1.0,1,2
51,Tanzania,249.5,2906.5,9466.0,1.5,4,37
52,Turkey,773.75,2809.875,30484.375,2.0,8,43
53,Uganda,141.33333333333334,1412.0,288883.0,1.6666666666666667,3,2
54,United Kingdom,200.9,955.1,363.2,1.6,10,39
55,United States,246.63440860215053,1758.1827956989248,1827.3548387096773,1.4482758620689655,93,995
56,Vanuatu,154.125,789.375,854.75,2.142857142857143,8,111
57,Vietnam,438.0,516.3333333333334,376222.0,2.3333333333333335,3,0
58,Yemen,253.88888888888889,1330.2222222222222,153610.55555555556,1.2222222222222223,9,14
