,volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,latitude,longitude,elevation,tectonic_settings,evidence_category,major_rock_1,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,area_of_activity,end_day,end_month,end_year,eruption_category,evidence_method_dating,start_day,start_month,start_year,vei,start_date,end_date,eruption_length,num_eruptions,earliest_eruption_year,volcano_type
0,283001,Abu,Shield(s),-6850,Japan,"Japan, Taiwan, Marianas",34.5,131.6,641,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,3597,9594,117805,4071152,,2.0,4.0,2020.0,Confirmed Eruption,Historical Observations,23.0,3.0,2020.0,,2020-03-23,2020-04-02,10,1,-6850,Shield volcano
1,355096,Acamarachi,Stratovolcano,Unknown,Chile,South America,-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,0,7,294,9092,,22.0,2.0,2020.0,Confirmed Eruption,Historical Observations,22.0,2.0,2020.0,,2020-02-22,2020-02-22,0,0,Unknown,Stratovolcano
2,342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,4329,60730,1042836,7634778,,6.0,4.0,2020.0,Confirmed Eruption,Historical Observations,10.0,2.0,2020.0,,2020-02-10,2020-04-06,56,8,-2710,Stratovolcano
3,213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Eruption Dated,Rhyolite,127863,127863,218469,2253483,,17.0,4.0,2020.0,Confirmed Eruption,Historical Observations,31.0,1.0,2020.0,,2020-01-31,2020-04-17,77,5,-7810,Caldera
4,321040,Adams,Stratovolcano,950,United States,Canada and Western USA,46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,0,70,4019,393303,,12.0,1.0,2020.0,Confirmed Eruption,Historical Observations,12.0,1.0,2020.0,,2020-01-12,2020-01-12,0,15,-7050,Stratovolcano
5,283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,428,3936,717078,5024654,,22.0,1.0,2020.0,Confirmed Eruption,Historical Observations,12.0,1.0,2020.0,,2020-01-12,2020-01-22,10,13,-8050,Stratovolcano
6,221170,Adwa,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,10.07,40.84,1733,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite,101,485,18645,1242922,,17.0,4.0,2020.0,Confirmed Eruption,Historical Observations,11.0,1.0,2020.0,,2020-01-11,2020-04-17,97,2,Unknown,Stratovolcano
7,221110,Afdera,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Rhyolite,51,6042,8611,161009,1978/90 Crater Complex,9.0,12.0,2019.0,Confirmed Eruption,Historical Observations,9.0,12.0,2019.0,2.0,2019-12-09,2019-12-09,0,0,Unknown,Stratovolcano
8,284160,Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas",18.77,145.67,965,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,0,0,0,0,,15.0,3.0,2020.0,Confirmed Eruption,Historical Observations,7.0,12.0,2019.0,,2019-12-07,2020-03-15,99,1,1917,Stratovolcano
9,342100,Agua,Stratovolcano,Unknown,Guatemala,México and Central America,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,9890,114404,2530449,7441660,,17.0,4.0,2020.0,Confirmed Eruption,Historical Observations,5.0,12.0,2019.0,1.0,2019-12-05,2020-04-17,134,1,Unknown,Stratovolcano
10,382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Trachyte / Trachydacite,406,17272,113131,119653,,7.0,12.0,2019.0,Uncertain Eruption,Historical Observations,7.0,11.0,2019.0,,2019-11-07,2019-12-07,30,10,-6750,Stratovolcano
11,358062,Aguilera,Stratovolcano,-1250,Chile,South America,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,0,0,103,5698,,16.0,4.0,2020.0,Confirmed Eruption,Historical Observations,2.0,11.0,2019.0,,2019-11-02,2020-04-16,166,2,-2610,Stratovolcano
12,264020,Agung,Stratovolcano,2019,Indonesia,Indonesia,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,5657,76781,968381,4550176,,17.0,4.0,2020.0,Confirmed Eruption,Historical Observations,24.0,10.0,2019.0,,2019-10-24,2020-04-17,176,5,1808,Stratovolcano
13,284141,Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas",20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,0,0,0,0,,22.0,10.0,2019.0,Confirmed Eruption,Historical Observations,13.0,10.0,2019.0,1.0,2019-10-13,2019-10-22,9,3,1979,Fissure
14,282080,Aira,Caldera,2020,Japan,"Japan, Taiwan, Marianas",31.593,130.657,1117,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,4918,113874,905254,2610033,,25.0,8.0,2019.0,Confirmed Eruption,Historical Observations,7.0,8.0,2019.0,,2019-08-07,2019-08-25,18,54,-8050,Caldera
15,300125,Akademia Nauk,Stratovolcano(es),1996,Russia,Kamchatka and Mainland Asia,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,3,3,615,12484,,12.0,11.0,2019.0,Confirmed Eruption,Historical Observations,2.0,8.0,2019.0,,2019-08-02,2019-11-12,102,4,-5500,Stratovolcano
16,283130,Akagisan,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",36.56,139.193,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,961,4538,1116366,16718375,,17.0,9.0,2019.0,Confirmed Eruption,Historical Observations,26.0,7.0,2019.0,,2019-07-26,2019-09-17,53,2,Unknown,Stratovolcano
17,285070,Akan,Caldera,2008,Japan,"Japan, Taiwan, Marianas",43.384,144.013,1499,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,2062,2062,9756,929538,Summit crater,9.0,4.0,2020.0,Confirmed Eruption,Historical Observations,23.0,7.0,2019.0,,2019-07-23,2020-04-09,261,37,-7050,Caldera
18,283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,"Japan, Taiwan, Marianas",39.761,140.799,1637,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,376,3864,216708,2521611,,13.0,4.0,2020.0,Confirmed Eruption,Historical Observations,23.0,7.0,2019.0,,2019-07-23,2020-04-13,265,18,-8800,Stratovolcano
19,283260,Akita-Yakeyama,Stratovolcano,1997,Japan,"Japan, Taiwan, Marianas",39.964,140.757,1366,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,127,721,55493,3122037,,24.0,8.0,2019.0,Confirmed Eruption,Historical Observations,16.0,7.0,2019.0,,2019-07-16,2019-08-24,39,17,-3050,Stratovolcano
20,282022,Akusekijima,Stratovolcano(es),Unknown,Japan,"Japan, Taiwan, Marianas",29.465,129.594,555,Subduction zone / Oceanic crust (< 15 km),Evidence Uncertain,Andesite / Basaltic Andesite,52,52,199,749,,5.0,10.0,2019.0,Confirmed Eruption,Historical Observations,26.0,6.0,2019.0,,2019-06-26,2019-10-05,101,0,Unknown,Stratovolcano
21,311320,Akutan,Stratovolcano,1992,United States,Alaska,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,0,24,233,4361,,24.0,12.0,2019.0,Confirmed Eruption,Historical Observations,24.0,6.0,2019.0,,2019-06-24,2019-12-24,183,47,-7620,Stratovolcano
22,290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,0,64,64,2887,,1.0,7.0,2019.0,Confirmed Eruption,Historical Observations,22.0,6.0,2019.0,,2019-06-22,2019-07-01,9,16,1790,Stratovolcano
23,221112,Alayta,Shield,1915,Ethiopia,Africa and Red Sea,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,156,925,13459,330411,,27.0,10.0,2019.0,Confirmed Eruption,Historical Observations,11.0,6.0,2019.0,,2019-06-11,2019-10-27,138,2,1907,Shield volcano
24,353040,Alcedo,Shield,1993,Ecuador,South America,-0.43,-91.12,1130,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,290,290,388,10756,,7.0,6.0,2019.0,Confirmed Eruption,Historical Observations,1.0,6.0,2019.0,,2019-06-01,2019-06-07,6,3,1953,Shield volcano
25,221090,Ale Bagu,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,2,919,8424,278270,,7.0,10.0,2019.0,Confirmed Eruption,Historical Observations,16.0,5.0,2019.0,2.0,2019-05-16,2019-10-07,144,0,Unknown,Stratovolcano
26,221040,Alid,Stratovolcano,Unknown,Eritrea,Africa and Red Sea,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite,517,2447,25942,1216179,,12.0,7.0,2019.0,Confirmed Eruption,Historical Observations,11.0,5.0,2019.0,,2019-05-11,2019-07-12,62,0,Unknown,Stratovolcano
27,352031,Aliso,Stratovolcano,-2450,Ecuador,South America,-0.53,-78.0,4267,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,0,0,0,0,,17.0,4.0,2020.0,Confirmed Eruption,Historical Observations,16.0,4.0,2019.0,,2019-04-16,2020-04-17,367,1,-2450,Stratovolcano
28,320020,Alligator Lake,Volcanic field,Unknown,Canada,Canada and Western USA,60.42,-135.42,2217,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,0,0,47,20636,,2.0,7.0,2019.0,Confirmed Eruption,Historical Observations,9.0,4.0,2019.0,,2019-04-09,2019-07-02,84,0,Unknown,Other
29,342040,Almolonga,Stratovolcano,1818,Guatemala,México and Central America,14.797,-91.519,3173,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,91323,287487,1126942,6828403,,17.0,4.0,2020.0,Confirmed Eruption,Historical Observations,26.0,3.0,2019.0,,2019-03-26,2020-04-17,388,6,800,Stratovolcano
30,300450,Alney-Chashakondzha,Stratovolcano,1600,Russia,Kamchatka and Mainland Asia,56.656,159.647,2570,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,0,0,3,10679,,4.0,3.0,2019.0,Confirmed Eruption,Historical Observations,4.0,3.0,2019.0,,2019-03-04,2019-03-04,0,3,-660,Stratovolcano
31,221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,Africa and Red Sea,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,0,9,11209,478054,,10.0,3.0,2019.0,Confirmed Eruption,Historical Observations,18.0,2.0,2019.0,,2019-02-18,2019-03-10,20,1,2008,Fissure
32,221270,Alutu,Stratovolcano,-50,Ethiopia,Africa and Red Sea,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Eruption Dated,Rhyolite,6011,25619,314216,6813710,Bromo,28.0,7.0,2019.0,Confirmed Eruption,Historical Observations,18.0,2.0,2019.0,2.0,2019-02-18,2019-07-28,160,1,-50,Stratovolcano
33,311390,Amak,Stratovolcano,1796,United States,Alaska,55.424,-163.149,488,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,0,0,0,1345,,24.0,9.0,2019.0,Confirmed Eruption,Historical Observations,16.0,2.0,2019.0,,2019-02-16,2019-09-24,220,3,-2550,Stratovolcano
34,268072,Amasing,Stratovolcano(es),Unknown,Indonesia,Indonesia,-0.53,127.48,1030,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite,59,803,26015,92417,,30.0,9.0,2019.0,Confirmed Eruption,Historical Observations,7.0,2.0,2019.0,,2019-02-07,2019-09-30,235,0,Unknown,Stratovolcano
35,257030,Ambae,Shield,2018,Vanuatu,Melanesia and Australia,-15.389,167.835,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,73,1279,4326,73308,,9.0,6.0,2019.0,Confirmed Eruption,Historical Observations,6.0,2.0,2019.0,,2019-02-06,2019-06-09,123,8,1530,Shield volcano
36,273088,Ambalatungan Group,Compound,Unknown,Philippines,Philippines and SE Asia,17.32,121.1,2329,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Dacite,493,3803,55724,4652400,,11.0,4.0,2020.0,Confirmed Eruption,Historical Observations,8.0,12.0,2018.0,2.0,2018-12-08,2020-04-11,490,1,Unknown,Complex volcano
37,266020,Ambang,Complex,2005,Indonesia,Indonesia,0.75,124.42,1795,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,9155,46469,319137,1730602,,17.0,4.0,2020.0,Confirmed Eruption,Historical Observations,25.0,11.0,2018.0,2.0,2018-11-25,2020-04-17,509,2,1845,Complex volcano
38,254020,Ambitle,Stratovolcano,-350,Papua New Guinea,Melanesia and Australia,-4.08,153.65,450,Subduction zone / Crustal thickness unknown,Eruption Dated,Phono-tephrite /  Tephri-phonolite,1643,9195,9779,24367,,7.0,5.0,2019.0,Confirmed Eruption,Historical Observations,7.0,11.0,2018.0,1.0,2018-11-07,2019-05-07,181,1,-350,Stratovolcano
39,233011,Ambre-Bobaomby,Volcanic field,Unknown,Madagascar,Middle East and Indian Ocean,-12.6,49.15,1475,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,20396,20396,51426,408436,,26.0,10.0,2018.0,Uncertain Eruption,Historical Observations,26.0,10.0,2018.0,,2018-10-26,2018-10-26,0,0,Unknown,Other
40,257040,Ambrym,Pyroclastic shield,2018,Vanuatu,Melanesia and Australia,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,9,186,10826,63999,,3.0,2.0,2019.0,Confirmed Eruption,Historical Observations,21.0,10.0,2018.0,3.0,2018-10-21,2019-02-03,105,55,50,Shield volcano
41,234001,Amsterdam Island,Stratovolcano,Unknown,France,Middle East and Indian Ocean,-37.83,77.52,881,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt,0,0,0,0,,6.0,10.0,2018.0,Confirmed Eruption,Historical Observations,4.0,10.0,2018.0,1.0,2018-10-04,2018-10-06,2,0,Unknown,Stratovolcano
42,311190,Amukta,Stratovolcano,1997,United States,Alaska,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,0,0,0,0,,16.0,12.0,2018.0,Confirmed Eruption,Historical Observations,2.0,10.0,2018.0,3.0,2018-10-02,2018-12-16,75,8,1770,Stratovolcano
43,284200,Anatahan,Stratovolcano,2008,United States,"Japan, Taiwan, Marianas",16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,0,0,0,0,,16.0,4.0,2020.0,Confirmed Eruption,Historical Observations,25.0,9.0,2018.0,1.0,2018-09-25,2020-04-16,569,4,2003,Stratovolcano
44,300390,Anaun,Stratovolcano,Unknown,Russia,Kamchatka and Mainland Asia,56.32,158.83,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt,2,4,56,5933,,12.0,10.0,2018.0,Confirmed Eruption,Historical Observations,21.0,9.0,2018.0,2.0,2018-09-21,2018-10-12,21,0,Unknown,Stratovolcano
45,354004,Andahua-Orcopampa,Pyroclastic cone(s),1490,Peru,South America,-15.42,-72.33,4713,Subduction zone / Continental crust (>25 km),Eruption Dated,Trachyandesite / Basaltic Trachyandesite,10317,10317,16541,171897,,21.0,9.0,2018.0,Uncertain Eruption,Historical Observations,21.0,9.0,2018.0,1.0,2018-09-21,2018-09-21,0,4,-2110,Cinder cone
47,257110,Aneityum,Stratovolcano(es),Unknown,Vanuatu,Melanesia and Australia,-20.2,169.78,852,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,Basalt / Picro-Basalt,176,692,703,22731,,31.0,10.0,2018.0,Confirmed Eruption,Historical Observations,8.0,9.0,2018.0,1.0,2018-09-08,2018-10-31,53,0,Unknown,Stratovolcano
48,312090,Aniakchak,Caldera,1931,United States,Alaska,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,0,0,36,479,,23.0,12.0,2018.0,Confirmed Eruption,Historical Observations,4.0,9.0,2018.0,1.0,2018-09-04,2018-12-23,110,18,-6300,Caldera
